model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.605555555555554,4.504794520547946
SGD,7452134146574.149,5584690140913.58
RandomForest,4.476441251649583,4.3637295894744526
AdaBoost,4.601004555841881,4.622091035129774
GaussianProcess,4.4917449206113815,4.261867380305512
LinearRegression,6.42161308615375,6.307378216245595
FNN,11.862776129586356,11.499945499157084
RNNSingle,35.43668910435268,20.397974053744612
RNNMultiple,8.832647482554117,12.4584671503877
RNNAll,440.2066654629177,352.77337975697975
